Game Name,Player Count,Daily Highest Player Count,Price,Tags
The Elder Scrolls V: Skyrim Special Edition,"13,148","25,568","₩ 45,000","Open World, RPG, Adventure, Singleplayer, , , , "
New World: Aeternum,"13,119","26,785","₩ 82,000","Open World, Massively Multiplayer, MMORPG, , , , , "
Governor of Poker 3,"12,931","12,969",Free To Play,"Gambling, Card Game, Free to Play, Multiplayer, , , , "
Street Fighter™ 6,"13,037","27,802","₩ 69,800","2D Fighter, Fighting, Character Customization, , , , , "
HoloCure - Save the Fans!,"12,837","20,708",Free To Play,"Pixel Graphics, Anime, Bullet Hell, , Cute, , 2D, "
Brotato,"12,719","23,144","₩ 5,600","Singleplayer, Roguelike, Action Roguelike, Sci-fi, , , , "
Total War: WARHAMMER III,"12,380","22,203","₩ 60,000","Strategy, Turn-Based Strategy, Grand Strategy, , , , , "
"FINAL FANTASY XIV Online
(not available in your region)","12,177","27,452",,
Garry's Mod,"12,229","26,263","-40%
₩ 10,500
₩ 6,300","Sandbox, Moddable, Multiplayer, Physics, , , , "
Palworld,"11,993","20,566","₩ 32,000","Open World, Multiplayer, Survival, , , Crafting, , "
"Lost Ark
(not available in your region)","12,170","25,118",,
Russian Fishing 4,"11,703","17,905",Free To Play,"Fishing, Free to Play, Multiplayer, Simulation, , , , "
Age of Empires II: Definitive Edition,"11,623","22,485","₩ 36,500","Strategy, RTS, City Builder, Multiplayer, , , , "
HELLDIVERS™ 2,"11,427","28,436","₩ 44,800",
Enshrouded,"11,409","27,362","₩ 31,000","Open World, Survival, Base Building, Multiplayer, , , , "
Killing Floor 2,"10,973","11,507","₩ 32,000","Zombies, Online Co-Op, FPS, Gore, Multiplayer, , , "
"SUPERVIVE
(not available in your region)","10,768","29,746",,
Eternal Return,"10,822","20,816",Free To Play,"Free to Play, Anime, MOBA, Multiplayer, , PvP, , "
eFootball™,"10,856","13,584",Free To Play,"Football (Soccer), Free to Play, Controller, , Sports, , , "
Valheim,"10,715","31,285","₩ 20,500","Open World Survival Craft, Survival, Online Co-Op, , , , , "
Sid Meier's Civilization® V,"10,520","17,359","₩ 32,000","Turn-Based Strategy, Strategy, Turn-Based, , , 4X, , "
